编号,名称,类型,面积,结构,状态,价格,单位,出租时间,房间楼层,总楼层,朝向,独立卫生间,阳台,采暖,区域,交通,特色,位置,地址,详细连接
SHZRGY031601665_03,和合新村3居室-南卧,合,17.0,3室1厅,待租中,2330.0,月,年,01,6,南,无,无,,[浦东御桥] 11号线御桥,距离11号线御桥站796米,地铁10分钟;友家3.0 布丁,121.580156;31.157620,浦东和合新村御青路1051弄34御青路1051弄3401层0102,http://sh.ziroom.com/z/vr/60198871.html
SHZR45081632_05,欣杨景苑4居室-南卧,合,12.5,4室1厅,待租中,1560.0,月,年,12,13,南,无,有,,[浦东高东],,独立阳台;友家3.0 布丁,121.640836;31.318940,浦东欣杨景苑040412层1202,http://sh.ziroom.com/z/vr/318605.html
SHZRGY081614545_02,歌林春天馨园4居室-北卧,合,10.2,4室1厅,装修配置中,2430.0,月,年,14,14,北,无,无,,[闸北大宁] 1号线延长路,距离1号线延长路站1188米,地铁10分钟;友家4.0 拿铁,121.448650;31.278018,闸北歌林春天馨园万荣路388弄13万荣路388弄1314层1402,http://sh.ziroom.com/z/vr/60268286.html
SHYP22013674_05,文化花园香榭丽苑4居室-南卧,合,11.4,4室1厅,待租中,2360.0,月,年,01,7,南,无,无,,[杨浦五角场] 3号线江湾镇,距离3号线江湾镇站798米,地铁10分钟;友家3.0 布丁,121.499767;31.308528,杨浦五角场文化花园香榭丽苑08号楼08单元第01层0101,http://sh.ziroom.com/z/vr/20039487.html
SHZRGY081614545_05,歌林春天馨园4居室-南卧,合,18.8,4室1厅,装修配置中,2990.0,月,年,14,14,南,无,有,,[闸北大宁] 1号线延长路,距离1号线延长路站1188米,地铁10分钟;独立阳台;友家4.0 拿铁,121.448650;31.278018,闸北歌林春天馨园万荣路388弄13万荣路388弄1314层1402,http://sh.ziroom.com/z/vr/60268288.html
SHZR63518038_02,长隆住宅小区2居室-北卧,合,11.1,2室1厅,待租中,2430.0,月,年,03,6,北,无,无,,[杨浦周家嘴路] 12号线隆昌路,距离12号线隆昌路站295米,地铁10分钟;友家3.0 木棉,121.547941;31.279223,杨浦周家嘴路长隆住宅小区长阳路2121弄02号楼长阳路2121弄02单元第03层0301,http://sh.ziroom.com/z/vr/60035552.html
SHMH65294038_02,桃园小区（松江）4居室-北卧,合,12.6,4室1厅,待租中,1590.0,月,年,05,6,北,无,无,,[松江九亭] 9号线九亭,距离9号线九亭站1299米,地铁10分钟;友家3.0 木棉,121.332282;31.133421,松江桃园小区（松江）101005层0501,http://sh.ziroom.com/z/vr/20028451.html
SHZR67992366_01,星辰园（公寓）3居室-南卧,合,17.0,3室1厅,待租中,1960.0,月,年,10,18,南,无,有,独立供暖,[松江松江大学城] 9号线松江大学城,距离9号线松江大学城站265米,地铁10分钟;独立阳台;友家3.0 布丁,121.236346;31.058065,松江松江大学城星辰园公寓08号楼08单元第10层1004,http://sh.ziroom.com/z/vr/60043330.html
SHZR77972968_03,南方新村3居室-北卧,合,8.3,3室1厅,待租中,1890.0,月,年,02,6,北,无,无,,[闵行古美] 1号线莲花路,距离1号线莲花路站569米,地铁10分钟;友家3.0 木棉,121.404966;31.140495,闵行古美南方新村109号楼109单元第02层0202,http://sh.ziroom.com/z/vr/60062277.html
SHZR89966176_02,高尚领域5居室-北卧,合,16.6,5室1厅,已下定,2890.0,月,年,25,38,北,有,无,,[普陀真如] 11号线真如,距离11号线真如站428米,地铁10分钟;独卫;友家3.0 木棉,121.412940;31.260832,普陀高尚领域礼泉路700弄01礼泉路700弄0125层2506,http://sh.ziroom.com/z/vr/60032678.html
SHMH44436804_01,欣源公寓3居室-南卧,合,12.8,3室1厅,待租中,2230.0,月,年,05,6,南,无,无,,[闵行七宝] 9号线七宝,距离9号线七宝站488米,地铁10分钟;友家3.0 布丁,121.355507;31.166213,闵行七宝欣源公寓43号楼43单元第05层0502,http://sh.ziroom.com/z/vr/20012775.html
SHZRGY081608199_05,浦江颐城（公寓）5居室-北卧,合,9.0,5室1厅,待租中,1790.0,月,年,02,5,北,无,无,,[闵行浦江] 8号线浦江镇,,地铁10分钟;友家4.0 布丁,121.505493;31.106374,闵行浦江颐城（公寓）浦泉路251弄136浦泉路251弄13602层0201,http://sh.ziroom.com/z/vr/60234130.html
SHZR79341268_01,园西二居3居室-南卧,合,11.8,3室1厅,待租中,1730.0,月,年,03,6,南,无,有,,[浦东川沙] 2号线川沙,距离2号线川沙站395米,地铁10分钟;独立阳台;友家3.0 布丁,121.700841;31.195173,浦东川沙园西二居城南路627弄2支弄17号楼城南路627弄2支弄17单元第03层0302,http://sh.ziroom.com/z/vr/60048463.html
