编号,名称,类型,面积,结构,状态,价格,单位,出租时间,房间楼层,总楼层,朝向,独立卫生间,阳台,采暖,区域,交通,特色,位置,地址,详细连接
SHZB59970202_02,盛源家豪城2居室-南卧,合,15.3,2室1厅,待租中,2960.0,月,年,01,26,南,无,有,,[闸北大宁] 1号线中山北路,距离1号线中山北路站620米,地铁10分钟;独立阳台;友家3.0 木棉,121.463768;31.271022,闸北不夜城盛源家豪城08号楼08单元第01层0102,http://sh.ziroom.com/z/vr/20024599.html
SHZR70312776_02,象源丽都3居室-东南卧,合,9.0,3室1厅,待租中,2390.0,月,年,02,15,东南,无,无,,[普陀长征] 13号线真北路,距离13号线真北路站533米,地铁10分钟;友家3.0 木棉,121.383696;31.241132,普陀长征象源丽都43号楼43单元第02层0201,http://sh.ziroom.com/z/vr/60077376.html
SHPDX02121102_06,东方城市花园（二期）5居室-西卧,合,19.6,5室1厅,待租中,3090.0,月,年,6,31,西,无,无,,[浦东塘桥] 6号线上海儿童医学中心,距离6号线上海儿童医学中心站480米,地铁10分钟;友家2.0 拿铁,121.528449;31.204580,浦东新区塘桥东方城市花园二期46号楼1单元第6层602,http://sh.ziroom.com/z/vr/20002950.html
SHZRGY081612390_01,大华锦绣华城（十二街区）3居室-南卧,合,14.42,3室1厅,待租中,2690.0,月,年,05,6,南,无,有,,[浦东北蔡] 7号线锦绣路,,地铁10分钟;独立阳台;友家4.0 拿铁,121.545428;31.187881,浦东大华锦绣华城（十二街区）15315305层0501,http://sh.ziroom.com/z/vr/60257163.html
SHZRGY081612485_01,霍兰公寓3居室-南卧,合,15.13,3室1厅,装修配置中,2790.0,月,年,17,24,南,无,有,,[杨浦东外滩] 12号线江浦公园,距离12号线江浦公园站172米,地铁10分钟;独立阳台;友家4.0 拿铁,121.532458;31.270955,杨浦霍兰公寓010117层1701,http://sh.ziroom.com/z/vr/60258654.html
SHZRGY081612485_02,霍兰公寓3居室-东卧,合,11.22,3室1厅,装修配置中,2590.0,月,年,17,24,东,无,无,,[杨浦东外滩] 12号线江浦公园,距离12号线江浦公园站172米,地铁10分钟;友家4.0 米苏,121.532458;31.270955,杨浦霍兰公寓010117层1701,http://sh.ziroom.com/z/vr/60258655.html
SHZRGY081612485_03,霍兰公寓3居室-北卧,合,11.15,3室1厅,装修配置中,2390.0,月,年,17,24,北,无,无,,[杨浦东外滩] 12号线江浦公园,距离12号线江浦公园站172米,地铁10分钟;友家4.0 布丁,121.532458;31.270955,杨浦霍兰公寓010117层1701,http://sh.ziroom.com/z/vr/60258656.html
SHZRGY081612390_02,大华锦绣华城（十二街区）3居室-北卧,合,10.0,3室1厅,待租中,2430.0,月,年,05,6,北,无,无,,[浦东北蔡] 7号线锦绣路,,地铁10分钟;友家4.0 布丁,121.545428;31.187881,浦东大华锦绣华城（十二街区）15315305层0501,http://sh.ziroom.com/z/vr/60257164.html
SHZRGY031611719_03,和合新村3居室-南卧,合,10.0,3室1厅,待租中,2290.0,月,年,03,6,南,无,有,,[浦东御桥] 11号线御桥,,地铁10分钟;独立阳台;友家3.0 布丁,121.580156;31.157620,浦东和合新村御青路1051弄35御青路1051弄3503层0302,http://sh.ziroom.com/z/vr/60254874.html
SHZRGZ071612186_01,上大阳光乾泽园1居室-南,整,54.22,1室1厅,装修配置中,3790.0,月,年,17,17,南,有,有,,[宝山上大] 7号线上大路,距离7号线上大路站733米,地铁10分钟;独卫;独立阳台;整租1.0 ,121.409854;31.315047,宝山上大阳光乾泽园10110117层1701,http://sh.ziroom.com/z/vr/60256544.html
SHHP05975911_02,浩城华苑3居室-东卧,合,9.2,3室1厅,,3160.0,月,年,34,34,东,无,无,,[黄浦董家渡] 9号线小南门,距离9号线小南门站276米,地铁10分钟;友家3.0 木棉,121.502473;31.221469,黄浦董家渡浩城华苑04号楼04单元第34层3402,http://sh.ziroom.com/z/vr/20041783.html
SHMH34834156_03,保利茉莉公馆（公寓）5居室-南卧,合,16.0,5室2厅,,1560.0,月,年,05,3,南,无,无,,[闵行浦江] 8号线浦江镇,距离8号线浦江镇站1500米,地铁10分钟;友家3.0 木棉,121.496934;31.101034,闵行浦江保利茉莉公馆浦秀路1535弄136号楼浦秀路1535弄136单元第05层0502,http://sh.ziroom.com/z/vr/20014180.html
SHZR11399516_03,中星海上名豪苑（三期）3居室-南卧,合,15.1,3室1厅,待租中,1760.0,月,年,17,18,南,无,无,,[嘉定江桥] 11号线桃浦新村,,地铁10分钟;友家3.0 拿铁,121.335008;31.276223,嘉定江桥中星海上名豪苑（三期）29号楼29单元第17层1703,http://sh.ziroom.com/z/vr/60111546.html
SHZR11399516_01,中星海上名豪苑（三期）3居室-南卧,合,12.8,3室1厅,待租中,1690.0,月,年,17,18,南,无,无,,[嘉定江桥] 11号线桃浦新村,,地铁10分钟;友家3.0 布丁,121.335008;31.276223,嘉定江桥中星海上名豪苑（三期）29号楼29单元第17层1703,http://sh.ziroom.com/z/vr/60111544.html
SHXH48986411_01,南丹小区1居室-南,整,42.72,1室1厅,待租中,4330.0,月,年,05,7,南,有,无,,[徐汇徐家汇] 9号线宜山路,距离9号线宜山路站531米,地铁10分钟;独卫;拿铁,121.436662;31.197546,徐汇徐家汇南丹小区宜山路50弄06号楼宜山路50弄06单元第05层0504,http://sh.ziroom.com/z/vr/20014189.html
SHZR28703459_01,汇福家园吉祥里2居室-南卧,合,14.0,2室1厅,待租中,1390.0,月,年,14,18,南,无,无,,[浦东周浦] 16号线鹤沙航城,距离16号线鹤沙航城站2375米,地铁10分钟;友家3.0 布丁,121.596302;31.094541,浦东周浦汇福家园吉祥里32号楼32单元第14层1403,http://sh.ziroom.com/z/vr/60014973.html
SHZRGY031611748_01,锦绣一方名苑4居室-南卧,合,16.27,4室1厅,待租中,3390.0,月,年,05,6,南,有,无,,[浦东杨东] 7号线芳华路,,地铁10分钟;独卫;友家3.0 布丁,121.546390;31.204732,浦东锦绣一方名苑131305层0502,http://sh.ziroom.com/z/vr/60254321.html
SHZRGY031611748_02,锦绣一方名苑4居室-南卧,合,13.58,4室1厅,待租中,2460.0,月,年,05,6,南,无,无,,[浦东杨东] 7号线芳华路,,地铁10分钟;友家3.0 木棉,121.546390;31.204732,浦东锦绣一方名苑131305层0502,http://sh.ziroom.com/z/vr/60254322.html
SHZRGY031611748_03,锦绣一方名苑4居室-北卧,合,9.87,4室1厅,待租中,2260.0,月,年,05,6,北,无,无,,[浦东杨东] 7号线芳华路,,地铁10分钟;友家3.0 木棉,121.546390;31.204732,浦东锦绣一方名苑131305层0502,http://sh.ziroom.com/z/vr/60254323.html
SHZR18978086_01,高尚领域4居室-东卧,合,21.0,4室1厅,待租中,3290.0,月,年,09,38,东,有,无,,[普陀真如] 11号线真如,距离11号线真如站428米,地铁10分钟;独卫;友家3.0 布丁,121.412940;31.260832,普陀高尚领域050509层0902,http://sh.ziroom.com/z/vr/60032410.html
SHPDX63969319_01,锦博苑3居室-南卧,合,12.74,3室1厅,待租中,2530.0,月,年,02,6,南,无,无,,[浦东北蔡] 7号线锦绣路,距离7号线锦绣路站291米,地铁10分钟;友家3.0 布丁,121.543113;31.194556,浦东新区北蔡锦博苑20号楼20单元第02层0202,http://sh.ziroom.com/z/vr/20007909.html
SHZR19012316_01,鑫龙佳苑4居室-南卧,合,19.6,4室1厅,已下定,2260.0,月,年,04,6,南,有,有,,[浦东川沙] 2号线华夏东路,距离2号线华夏东路站827米,地铁10分钟;独卫;独立阳台;友家3.0 布丁,121.693162;31.196663,浦东川沙鑫龙佳苑27号楼27单元第04层0401,http://sh.ziroom.com/z/vr/60035315.html
SHPDX84765157_01,东陆新村七街坊1居室-南,整,32.1,1室1厅,,3360.0,月,年,05,6,南,无,有,,[浦东金桥] 12号线杨高北路,距离12号线杨高北路站439米,地铁10分钟;独立阳台;布丁,121.606870;31.282030,浦东新区金杨东陆新村七街坊五莲路1424弄71号楼五莲路1424弄71单元第05层0502,http://sh.ziroom.com/z/vr/20018897.html
SHZR26823080_01,东城新村3居室-南卧,合,12.92,3室1厅,待租中,2590.0,月,年,11,18,南,无,无,,[浦东杨东] 2号线世纪公园,距离2号线世纪公园站1031米,地铁10分钟;友家3.0 布丁,121.550310;31.207959,浦东塘桥东城新村东建路670弄01号楼东建路670弄01单元第11层1103,http://sh.ziroom.com/z/vr/60053843.html
SHZRGY081610950_02,天馨花园（公寓）4居室-南卧,合,8.0,4室1厅,装修配置中,1730.0,月,年,05,12,南,无,无,,[宝山杨行] 1号线宝安公路,距离1号线宝安公路站589米,地铁10分钟;友家4.0 布丁,121.438399;31.370161,宝山天馨花园（公寓）36436405层0501,http://sh.ziroom.com/z/vr/60250836.html
SHZRGY081610950_03,天馨花园（公寓）4居室-北卧,合,8.0,4室1厅,装修配置中,1560.0,月,年,05,12,北,无,无,,[宝山杨行] 1号线宝安公路,距离1号线宝安公路站589米,地铁10分钟;友家4.0 米苏,121.438399;31.370161,宝山天馨花园（公寓）36436405层0501,http://sh.ziroom.com/z/vr/60250837.html
SHZRGY081610950_05,天馨花园（公寓）4居室-南卧,合,10.0,4室1厅,装修配置中,1930.0,月,年,05,12,南,无,有,,[宝山杨行] 1号线宝安公路,距离1号线宝安公路站589米,地铁10分钟;独立阳台;友家4.0 木棉,121.438399;31.370161,宝山天馨花园（公寓）36436405层0501,http://sh.ziroom.com/z/vr/60250838.html
SHPDX29999232_02,三林世博家园（东书房路560弄）2居室-南卧,合,11.35,2室1厅,待租中,1760.0,月,年,07,17,南,无,无,,[浦东三林] 11号线浦三路,距离11号线浦三路站1300米,地铁10分钟;友家3.0 木棉,121.540090;31.168456,浦东新区三林三林世博家园（东书房路560弄）28号楼28单元第07层0703,http://sh.ziroom.com/z/vr/20015490.html
SHZR01729409_03,盛世家园5居室-南卧,合,13.0,5室1厅,装修配置中,2160.0,月,年,06,6,南,无,无,,[闸北永和] 7号线大场镇,距离7号线大场镇站832米,地铁10分钟;友家4.0 拿铁,121.432024;31.300555,闸北永和盛世家园66号楼66单元第06层0602,http://sh.ziroom.com/z/vr/60104160.html
SHZR01729409_05,盛世家园5居室-南卧,合,13.0,5室1厅,装修配置中,2730.0,月,年,06,6,南,无,无,,[闸北永和] 7号线大场镇,距离7号线大场镇站832米,地铁10分钟;友家4.0 布丁,121.432024;31.300555,闸北永和盛世家园66号楼66单元第06层0602,http://sh.ziroom.com/z/vr/60104161.html
SHZR64734607_02,泰翔嘉苑4居室-南卧,合,9.9,4室1厅,待租中,1430.0,月,年,17,26,南,无,无,,[嘉定南翔] 11号线南翔,距离11号线南翔站1342米,地铁10分钟;友家3.0 木棉,121.320633;31.293546,嘉定南翔泰翔嘉苑22号楼22单元第17层1701,http://sh.ziroom.com/z/vr/60124528.html
SHZR68685676_02,塘和家园德宁苑3居室-北卧,合,12.0,3室1厅,待租中,1090.0,月,年,07,18,北,无,无,独立供暖,[松江泗泾] 9号线佘山,距离9号线佘山站2137米,地铁10分钟;友家3.0 木棉,121.258266;31.105943,松江泗泾塘和家园德宁苑02号楼02单元第07层0705,http://sh.ziroom.com/z/vr/60074293.html
SHZR18621085_01,科汇公寓2居室-东,整,80.64,2室1厅,,7190.0,月,年,14,25,东,无,无,,[徐汇徐家汇] 1号线徐家汇,距离1号线徐家汇站184米,地铁10分钟;木棉,121.447826;31.199898,徐汇徐家汇科汇公寓01号楼01单元第14层1402,http://sh.ziroom.com/z/vr/60057108.html
SHZRGY081613414_01,金桥新村四街坊（长岛路1267弄）3居室-南卧,合,13.5,3室1厅,装修配置中,2460.0,月,年,02,6,南,无,有,,[浦东金桥] 6号线博兴路,距离6号线博兴路站707米,地铁10分钟;独立阳台;友家4.0 拿铁,121.600618;31.267892,浦东金桥新村四街坊（长岛路1267弄）长岛路1267弄101002层0201,http://sh.ziroom.com/z/vr/60262835.html
SHZRGY081613414_03,金桥新村四街坊（长岛路1267弄）3居室-南卧,合,8.25,3室1厅,装修配置中,1860.0,月,年,02,6,南,无,无,,[浦东金桥] 6号线博兴路,距离6号线博兴路站707米,地铁10分钟;友家4.0 米苏,121.600618;31.267892,浦东金桥新村四街坊（长岛路1267弄）长岛路1267弄101002层0201,http://sh.ziroom.com/z/vr/60262837.html
SHZRGY081613414_02,金桥新村四街坊（长岛路1267弄）3居室-南卧,合,11.7,3室1厅,装修配置中,2160.0,月,年,02,6,南,无,无,,[浦东金桥] 6号线博兴路,距离6号线博兴路站707米,地铁10分钟;友家4.0 布丁,121.600618;31.267892,浦东金桥新村四街坊（长岛路1267弄）长岛路1267弄101002层0201,http://sh.ziroom.com/z/vr/60262836.html
SHZR32456149_01,延吉东路131弄1居室-南,整,34.9,1室1厅,,3260.0,月,年,06,6,南,无,有,,[杨浦控江路] 8号线延吉中路,距离8号线延吉中路站1014米,地铁10分钟;独立阳台;布丁,121.550798;31.299997,杨浦黄兴公园延吉东路131弄51号楼51单元第06层0602,http://sh.ziroom.com/z/vr/315470.html
SHZR30523390_02,四季绿城3居室-北卧,合,10.05,3室1厅,待租中,2090.0,月,年,05,6,北,无,无,,[宝山淞南] 3号线殷高西路,距离3号线殷高西路站1394米,地铁10分钟;友家3.0 木棉,121.483078;31.336321,宝山淞南四季绿城66号楼66单元第05层0501,http://sh.ziroom.com/z/vr/60117520.html
SHZRGY081610049_02,城中花园3居室-北卧,合,12.6,3室1厅,待租中,1590.0,月,年,07,11,北,无,无,,[浦东康桥] 11号线秀沿路,,地铁10分钟;友家4.0 米苏,121.584255;31.138205,浦东城中花园282807层0701,http://sh.ziroom.com/z/vr/60250780.html
SHZRGY081610049_03,城中花园3居室-南卧,合,17.2,3室1厅,已下定,1890.0,月,年,07,11,南,无,有,,[浦东康桥] 11号线秀沿路,,地铁10分钟;独立阳台;友家4.0 木棉,121.584255;31.138205,浦东城中花园282807层0701,http://sh.ziroom.com/z/vr/60250781.html
SHZRGY081613734_01,宁怡苑4居室-南卧,合,19.4,4室1厅,装修配置中,2190.0,月,年,02,6,南,有,无,,[浦东康桥] 11号线秀沿路,距离11号线秀沿路站1213米,地铁10分钟;独卫;友家4.0 拿铁,121.618273;31.144109,浦东宁怡苑272702层0201,http://sh.ziroom.com/z/vr/60264703.html
SHZRGY081613734_03,宁怡苑4居室-南卧,合,14.2,4室1厅,装修配置中,1890.0,月,年,02,6,南,无,有,,[浦东康桥] 11号线秀沿路,距离11号线秀沿路站1213米,地铁10分钟;独立阳台;友家4.0 布丁,121.618273;31.144109,浦东宁怡苑272702层0201,http://sh.ziroom.com/z/vr/60264705.html
SHZRGY081613734_02,宁怡苑4居室-南卧,合,10.9,4室1厅,装修配置中,1790.0,月,年,02,6,南,无,无,,[浦东康桥] 11号线秀沿路,距离11号线秀沿路站1213米,地铁10分钟;友家4.0 米苏,121.618273;31.144109,浦东宁怡苑272702层0201,http://sh.ziroom.com/z/vr/60264704.html
SHZRGY081613734_05,宁怡苑4居室-东卧,合,26.5,4室1厅,装修配置中,2060.0,月,年,02,6,东,无,无,,[浦东康桥] 11号线秀沿路,距离11号线秀沿路站1213米,地铁10分钟;友家4.0 木棉,121.618273;31.144109,浦东宁怡苑272702层0201,http://sh.ziroom.com/z/vr/60264706.html
SHZRGY081609783_05,桃林小区4居室-南卧,合,15.7,4室1厅,待租中,3190.0,月,年,06,18,南,无,有,,[浦东源深] 9号线杨高中路,距离9号线杨高中路站421米,地铁10分钟;独立阳台;友家4.0 木棉,121.552138;31.237232,浦东桃林小区民生路818弄02民生路818弄0206层0602,http://sh.ziroom.com/z/vr/60242886.html
SHMH06812886_01,绿地新干线2居室-南卧,合,13.9,2室1厅,待租中,1830.0,月,年,01,6,南,无,有,,[闵行老闵行] 5号线剑川路,距离5号线剑川路站427米,地铁10分钟;独立阳台;友家3.0 木棉,121.425919;31.035857,闵行老闵行绿地新干线50号楼50单元第01层0104,http://sh.ziroom.com/z/vr/20024378.html
SHHP68241673_01,瞿溪新村2居室-南卧,合,14.13,2室1厅,待租中,2660.0,月,年,02,5,南,无,无,,[黄浦世博滨江] 4号线南浦大桥,距离4号线南浦大桥站384米,地铁10分钟;友家3.0 布丁,121.501572;31.211821,黄浦蓬莱公园瞿溪新村22号楼23单元第02层0202,http://sh.ziroom.com/z/vr/20015902.html
SHXH78337691_02,龙兆苑4居室-东卧,合,10.5,4室1厅,,2730.0,月,年,01,11,东,无,无,,[徐汇龙华] 3号线龙漕路,距离3号线龙漕路站213米,地铁10分钟;友家3.0 木棉,121.453250;31.176607,徐汇龙华龙兆苑20号楼20单元第01层0101,http://sh.ziroom.com/z/vr/20035327.html
SHZR63697053_01,静安新城（七区）4居室-南卧,合,17.2,4室1厅,,2890.0,月,年,09,12,南,有,无,,[闵行静安新城] 9号线合川路,距离9号线合川路站815米,地铁10分钟;独卫;友家3.0 木棉,121.387588;31.165002,闵行静安新城静安新城七区52号楼52单元第09层0902,http://sh.ziroom.com/z/vr/60001633.html
SHZR28921566_03,锦绣一方名苑4居室-北卧,合,9.89,4室1厅,待租中,2330.0,月,年,03,6,北,无,无,,[浦东杨东] 7号线芳华路,距离7号线芳华路站1115米,地铁10分钟;友家3.0 木棉,121.546390;31.204732,浦东杨东锦绣一方名苑12号楼12单元第03层0301,http://sh.ziroom.com/z/vr/60052514.html
SH88283866_02,光明捷座4居室-西卧,合,9.03,4室1厅,,1060.0,月,年,16,30,西,无,无,,[上海周边昆山] 11号线光明路,距离11号线光明路站299米,地铁10分钟;友家3.0 木棉,121.120728;31.301883,上海周边光明捷座010116层1601,http://sh.ziroom.com/z/vr/20030904.html
SHZR46943522_03,阳光威尼斯（一期）4居室-南卧,合,13.1,4室1厅,待租中,1960.0,月,年,10,18,南,无,无,,[普陀真光] 11号线祁连山路,距离11号线祁连山路站1424米,地铁10分钟;友家3.0 拿铁,121.373552;31.266417,普陀桃浦阳光威尼斯（一期）祁连山南路2727弄86号楼祁连山南路2727弄86单元第10层1001,http://sh.ziroom.com/z/vr/60136476.html
SHZR05043268_03,龙柏公寓4居室-北卧,合,9.1,4室1厅,已下定,2130.0,月,年,05,6,北,无,无,,[闵行龙柏] 10号线龙柏新村,距离10号线龙柏新村站509米,地铁10分钟;友家3.0 木棉,121.373029;31.187732,闵行龙柏公寓727205层0501,http://sh.ziroom.com/z/vr/60161776.html
SHZRGY081612529_05,金地自在城（二期）5居室-北卧,合,11.6,5室1厅,装修配置中,1430.0,月,年,04,18,北,无,无,独立供暖,[松江泗泾] 9号线佘山,距离9号线佘山站983米,地铁10分钟;友家4.0 布丁,121.239166;31.119056,松江金地自在城（二期）050504层0402,http://sh.ziroom.com/z/vr/60258105.html
SHZR53430734_03,滨浦新苑七村3居室-南卧,合,16.4,3室1厅,待租中,1690.0,月,年,01,11,南,无,有,,[闵行浦江] 8号线联航路,距离8号线联航路站1722米,地铁10分钟;独立阳台;友家3.0 拿铁,121.501050;31.072374,闵行浦江滨浦新苑七村15号楼15单元第01层0103,http://sh.ziroom.com/z/vr/60093242.html
SHZR87769336_03,高南新村3居室-北卧,合,10.5,3室1厅,已下定,1530.0,月,年,05,6,北,无,无,,[浦东外高桥] 6号线外高桥保税区北,距离6号线外高桥保税区北站704米,地铁10分钟;友家3.0 布丁,121.591202;31.347767,浦东高行高南新村春晖路276弄18号楼春晖路276弄18单元第05层0501,http://sh.ziroom.com/z/vr/60001128.html
SHMH79324955_01,美丽星城4居室-南卧,合,13.4,4室1厅,,2130.0,月,年,03,14,南,有,无,,[松江九亭] 9号线九亭,距离9号线九亭站800米,地铁10分钟;独卫;友家3.0 米苏,121.333581;31.140373,闵行七宝美丽星城46号楼46单元第03层0301,http://sh.ziroom.com/z/vr/20027250.html
SHMH79324955_02,美丽星城4居室-南卧,合,7.6,4室1厅,,1590.0,月,年,03,14,南,无,无,,[松江九亭] 9号线九亭,距离9号线九亭站800米,地铁10分钟;友家3.0 木棉,121.333581;31.140373,闵行七宝美丽星城46号楼46单元第03层0301,http://sh.ziroom.com/z/vr/20027251.html
SHZRGZ071613013_01,竹园新村（浦东）2居室-南,整,42.33,2室1厅,装修配置中,5720.0,月,年,03,7,南,无,无,,[浦东源深] 6号线世纪大道,距离6号线世纪大道站314米,地铁10分钟;整租1.0 ,121.537868;31.233427,浦东竹园新村源深路600弄2支弄12源深路600弄2支弄1203层0302,http://sh.ziroom.com/z/vr/60260773.html
SHZR70312776_03,象源丽都3居室-南卧,合,17.3,3室1厅,,3330.0,月,年,02,15,南,无,有,,[普陀长征] 13号线真北路,距离13号线真北路站533米,地铁10分钟;独立阳台;友家3.0 木棉,121.383696;31.241132,普陀长征象源丽都43号楼43单元第02层0201,http://sh.ziroom.com/z/vr/60077377.html
SHZRGY031610056_03,周康四村3居室-东卧,合,8.1,3室1厅,待租中,1360.0,月,年,02,5,东,无,无,,[浦东康桥] 11号线御桥,距离11号线御桥站2236米,地铁10分钟;友家3.0 木棉,121.578486;31.144575,浦东周康四村232302层0201,http://sh.ziroom.com/z/vr/60243856.html
SHZRGY031610056_01,周康四村3居室-南卧,合,12.8,3室1厅,,1490.0,月,年,02,5,南,无,无,,[浦东康桥] 11号线御桥,距离11号线御桥站2236米,地铁10分钟;友家3.0 木棉,121.578486;31.144575,浦东周康四村232302层0201,http://sh.ziroom.com/z/vr/60243854.html
SHZRGY081610062_01,龙柏五村3居室-南卧,合,11.7,3室1厅,已下定,2590.0,月,年,04,6,南,无,有,,[闵行龙柏] 10号线龙柏新村,距离10号线龙柏新村站78米,地铁10分钟;独立阳台;友家4.0 拿铁,121.376074;31.182573,闵行龙柏五村131304层0402,http://sh.ziroom.com/z/vr/60247863.html
SHZRGY081614267_05,樟树缘公寓4居室-南卧,合,18.2,4室1厅,装修配置中,2760.0,月,年,06,6,南,无,无,,[杨浦周家嘴路] 12号线复兴岛,距离12号线复兴岛站310米,地铁10分钟;友家4.0 拿铁,121.563887;31.287696,杨浦樟树缘公寓090906层0601,http://sh.ziroom.com/z/vr/60266630.html
SHJD03902916_02,合景峰汇2居室-南卧,合,14.88,2室1厅,待租中,1430.0,月,年,15,20,南,无,无,,[嘉定嘉定新城] 11号线白银路,距离11号线白银路站1147米,地铁10分钟;友家3.0 木棉,121.264357;31.350562,嘉定嘉定工业区合景峰汇02号楼02单元第15层1513,http://sh.ziroom.com/z/vr/20040369.html
SHZR65567086_01,骏丰嘉峰汇3居室-东卧,合,12.83,3室1厅,待租中,1730.0,月,年,17,17,东,无,无,,[嘉定南翔] 11号线南翔,距离11号线南翔站824米,地铁10分钟;友家3.0 布丁,121.324803;31.296782,嘉定骏丰嘉峰汇银翔路888弄15银翔路888弄1517层1710,http://sh.ziroom.com/z/vr/60041014.html
SHZRGY081614899_03,大华颐和华城（公寓）4居室-北卧,合,12.0,4室1厅,装修配置中,1830.0,月,年,05,15,北,无,无,,[普陀万里] 11号线李子园,距离11号线李子园站1328米,地铁10分钟;友家4.0 米苏,121.407084;31.282936,普陀区大华颐和华城（公寓）武威东路479弄17武威东路479弄1705层0502,http://sh.ziroom.com/z/vr/60270380.html
